kode_kabupaten,kabupaten_name,province,flood_events_total,deaths_total,missing_total,injured_total,affected_total,displaced_total,houses_heavy_damage,houses_medium_damage,houses_light_damage,houses_flooded,year_first_flood,year_last_flood,years_with_floods,flood_impact_score,flood_risk_label
12.01,Tapanuli Tengah,Sumatera Utara,7.0,98,109,543,305134,10882,56,28,41,75927,2020,2025,7,20451.04,1
12.02,Tapanuli Utara,Sumatera Utara,6.0,34,14,3,16546,3600,22,0,493,223,2023,2025,6,3593.76,1
12.03,Tapanuli Selatan,Sumatera Utara,24.0,81,35,155,294170,8079,120,6,1863,2518,2020,2025,24,11317.5,1
12.04,Nias,Sumatera Utara,8.0,2,0,0,16994,35,5,8,0,985,2021,2025,8,476.44,0
12.05,Langkat,Sumatera Utara,40.0,12,0,11,650654,21972,5,0,0,537330,2020,2025,41,61479.54,1
12.06,Karo,Sumatera Utara,6.0,6,0,0,425,0,5,0,57,4,2020,2024,6,610.65,0
12.07,Deli Serdang,Sumatera Utara,51.0,35,4,19,369310,7624,9,0,220,84487,2020,2025,53,15692.800000000001,1
12.08,Simalungun,Sumatera Utara,11.0,2,0,1,4804,72,23,0,17,912,2023,2025,11,350.24,0
12.09,Asahan,Sumatera Utara,38.0,0,0,0,89941,2002,4,1,12,28617,2020,2025,39,3799.11,1
12.1,Labuhanbatu,Sumatera Utara,9.0,1,0,0,24685,0,0,0,0,4851,2020,2025,9,840.95,0
12.11,Dairi,Sumatera Utara,8.0,0,0,0,946,32,23,0,24,72,2023,2025,9,24.66,0
12.12,Toba,Sumatera Utara,4.0,0,0,0,714,0,1,0,0,143,2021,2023,4,25.44,0
12.13,Mandailing Natal,Sumatera Utara,20.0,2,2,1,28353,13288,51,12,48,4719,2020,2025,20,975.4300000000001,0
12.14,Nias Selatan,Sumatera Utara,6.0,1,0,0,2160,0,2,0,0,209,2020,2025,6,148.5,0
12.15,Pakpak Bharat,Sumatera Utara,2.0,2,0,0,1835,0,0,0,0,0,2023,2025,2,220.35,0
12.16,Humbang Hasundutan,Sumatera Utara,5.0,11,11,10,7284,2510,204,39,110,146,2023,2025,5,1192.4399999999998,0
12.17,Samosir,Sumatera Utara,3.0,1,0,100,133,669,7,0,6,115,2023,2024,3,115.83,0
12.18,Serdang Bedagai,Sumatera Utara,41.0,1,0,0,349546,3924,4,0,0,79844,2020,2025,41,11620.86,1
12.19,Batu Bara,Sumatera Utara,39.0,0,0,0,232798,5079,4,2,2,61174,2020,2025,39,8484.380000000001,1
12.2,Padang Lawas Utara,Sumatera Utara,6.0,0,0,0,2070,0,0,0,0,435,2023,2025,6,70.2,0
12.21,Padang Lawas,Sumatera Utara,21.0,0,0,0,16524,462,150,66,466,3621,2021,2025,21,548.34,0
12.22,Labuhanbatu Selatan,Sumatera Utara,12.0,0,0,0,36447,2872,0,0,0,7622,2023,2025,13,1138.67,0
12.23,Labuhanbatu Utara,Sumatera Utara,20.0,0,0,0,48452,1,1,200,5,11563,2020,2025,20,1660.82,1
12.24,Nias Utara,Sumatera Utara,11.0,0,0,0,38225,0,0,0,0,7270,2020,2025,11,1120.25,0
12.25,Nias Barat,Sumatera Utara,5.0,0,0,0,11562,40,3,0,4,2439,2020,2025,5,364.52,0
12.71,Kota Medan,Sumatera Utara,56.0,13,1,0,701196,10620,0,0,0,161614,2020,2025,56,24529.36,1
12.72,Kota Pematangsiantar,Sumatera Utara,8.0,1,0,0,915,0,0,0,0,232,2020,2024,8,140.35000000000002,0
12.73,Kota Sibolga,Sumatera Utara,3.0,52,0,7,1815,3359,0,0,0,363,2023,2025,3,5257.45,1
12.74,Kota Tanjung Balai,Sumatera Utara,12.0,1,0,0,165961,34,0,0,0,45097,2020,2025,12,6281.3099999999995,1
12.75,Kota Binjai,Sumatera Utara,18.0,0,0,0,81453,10982,0,0,0,24754,2020,2025,18,3307.9300000000003,1
12.76,Kota Tebing Tinggi,Sumatera Utara,19.0,0,0,0,124429,550,0,0,1,31662,2020,2025,19,4429.49,1
12.77,Kota Padang Sidempuan,Sumatera Utara,16.0,3,2,1,10145,2160,232,198,98,1385,2020,2025,16,555.95,0
12.78,Kota Gunungsitoli,Sumatera Utara,11.0,2,0,2,16346,0,22,0,5,4724,2021,2025,11,846.8600000000001,0
14.01,Kampar,Riau,57.0,0,0,0,117619,510,25,0,1959,23280,2020,2025,58,3561.19,1
14.02,Indragiri Hulu,Riau,40.0,0,0,0,107107,9293,0,0,175,27869,2020,2025,41,3897.9700000000003,1
14.03,Bengkalis,Riau,28.0,0,0,0,30699,4651,0,0,0,6718,2021,2024,28,1006.7900000000001,0
14.04,Indragiri Hilir,Riau,22.0,0,0,0,49964,864,27,9,100,14113,2021,2025,22,1932.94,1
14.05,Pelalawan,Riau,9.0,0,0,0,68061,2738,0,0,20,19398,2021,2025,9,2629.4100000000003,1
14.06,Rokan Hulu,Riau,46.0,1,0,0,136404,75,0,7,12101,19724,2020,2025,46,3482.44,1
14.07,Rokan Hilir,Riau,24.0,0,0,0,186458,15641,12,13,349,45974,2020,2025,24,6485.9800000000005,1
14.08,Siak,Riau,21.0,0,0,0,7700,812,0,0,9,3455,2021,2025,21,443.5,0
14.09,Kuantan Singingi,Riau,37.0,0,0,0,213953,0,1,0,170,46381,2023,2025,37,6814.630000000001,1
14.1,Kepulauan Meranti,Riau,7.0,0,0,0,13114,0,1,0,403,1368,2021,2023,7,274.94000000000005,0
14.71,Kota Pekanbaru,Riau,35.0,0,0,0,37897,535,0,0,718,9218,2020,2025,35,1335.77,1
14.72,Kota Dumai,Riau,7.0,0,0,0,9380,662,0,0,0,2281,2021,2025,7,328.90000000000003,0
15.01,Kerinci,Jambi,30.0,4,2,2,66932,6,56,86,305,17223,2020,2024,31,2821.6200000000003,1
15.02,Merangin,Jambi,21.0,0,0,0,8943,0,2,0,7,7144,2020,2025,21,824.8300000000002,0
15.03,Sarolangun,Jambi,19.0,0,0,0,64221,250,120,0,4,18722,2020,2025,20,2533.41,1
15.04,Batanghari,Jambi,15.0,0,0,0,52773,220,0,0,0,18272,2020,2025,15,2369.9300000000003,1
15.05,Muaro Jambi,Jambi,12.0,0,0,0,3785,329,0,0,160,7645,2020,2025,12,814.35,0
15.06,Tanjung Jabung Barat,Jambi,9.0,0,0,0,1633,160,0,0,0,297,2020,2025,9,55.03,0
15.07,Tanjung Jabung Timur,Jambi,8.0,0,0,0,7678,0,59,89,116,0,2021,2025,8,84.78,0
15.08,Bungo,Jambi,20.0,1,0,0,146711,0,1,0,2,23916,2020,2024,20,3978.71,1
15.09,Tebo,Jambi,14.0,0,0,0,43964,44987,2660,0,2,33247,2020,2025,14,3778.34,1
15.71,Kota Jambi,Jambi,4.0,0,0,0,4219,0,0,0,0,6041,2020,2024,4,650.29,0
15.72,Kota Sungai Penuh,Jambi,21.0,2,0,2,53521,26616,32,51,7,21583,2020,2025,21,2914.51,1
