,flood_events_total,flood_deaths,flood_impact_score,forest_loss_pct,palm_oil_pct,rainfall_annual_mean_mm,rainfall_extreme_days_avg,deforestation_flood_product,palm_oil_flood_product,compound_risk_score
flood_events_total,1.0,0.1540399001289606,0.44667558620337444,-0.06747158736955738,-0.09591361182455352,-0.17735377834313487,-0.15336451730961317,0.8339148843285131,0.34029112749300794,0.2374699356359739
flood_deaths,0.1540399001289606,1.0,0.23370782058631476,-0.040251689065730165,-0.04060291028673146,-0.06656333747037027,-0.0667205051219987,0.10685762633110314,0.0411402501177334,0.0769614514404768
flood_impact_score,0.44667558620337444,0.23370782058631476,1.0,-0.05209120551058746,-0.058310328757453705,-0.1400577742060797,-0.09356471210334645,0.344280909680674,0.24890433412676616,0.2234681631319901
forest_loss_pct,-0.06747158736955738,-0.040251689065730165,-0.05209120551058746,1.0,0.474139039304597,0.22028255781320957,0.22294370092956506,0.30855219856635885,0.34532689762191665,0.567468228144658
palm_oil_pct,-0.09591361182455352,-0.04060291028673146,-0.058310328757453705,0.474139039304597,1.0,0.3622787382418111,0.33023415885297835,0.0842216739495171,0.6528483834335296,0.6149197556161073
rainfall_annual_mean_mm,-0.17735377834313487,-0.06656333747037027,-0.1400577742060797,0.22028255781320957,0.3622787382418111,1.0,0.9077668767328319,-0.04784381116477573,0.19787965097117768,0.1939740321060849
rainfall_extreme_days_avg,-0.15336451730961317,-0.0667205051219987,-0.09356471210334645,0.22294370092956506,0.33023415885297835,0.9077668767328319,1.0,-0.03046777340342587,0.1989790520468106,0.2166286829787149
deforestation_flood_product,0.8339148843285131,0.10685762633110314,0.344280909680674,0.30855219856635885,0.0842216739495171,-0.04784381116477573,-0.03046777340342587,1.0,0.5559794122485611,0.45960816319176284
palm_oil_flood_product,0.34029112749300794,0.0411402501177334,0.24890433412676616,0.34532689762191665,0.6528483834335296,0.19787965097117768,0.1989790520468106,0.5559794122485611,1.0,0.6768946999483885
compound_risk_score,0.2374699356359739,0.0769614514404768,0.2234681631319901,0.567468228144658,0.6149197556161073,0.1939740321060849,0.2166286829787149,0.45960816319176284,0.6768946999483885,1.0
